32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	
0.022400	0.024416	0.013088	0.038048	0.131136	0.519936	1.979460	
0.012128	0.009248	0.009728	0.036160	0.129632	0.519744	1.970140	
0.009280	0.007392	0.009664	0.036096	0.130336	0.517696	1.972580	
0.009248	0.006880	0.009664	0.035776	0.129408	0.519392	1.966430	
0.007968	0.007008	0.009728	0.036064	0.129216	0.517472	1.968640	
0.008800	0.007264	0.009408	0.035680	0.128576	0.518240	1.971460	
0.009120	0.006816	0.009824	0.036064	0.130976	0.518048	1.970340	
0.008288	0.006784	0.009440	0.036224	0.129344	0.518240	1.971010	
0.008832	0.006880	0.009632	0.036544	0.129088	0.519168	1.969090	
