32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	
0.021888	0.024256	0.036000	0.144064	0.553696	2.191300	
0.010976	0.012096	0.034432	0.141696	0.551424	2.190110	
0.009440	0.011168	0.034528	0.141792	0.551552	2.189470	
0.008544	0.011008	0.034368	0.141856	0.551296	2.188190	
0.008544	0.011168	0.034464	0.142272	0.552000	2.188450	
0.008896	0.011104	0.034624	0.141760	0.551424	2.189280	
0.008960	0.011328	0.034624	0.142048	0.551552	2.188580	
0.008864	0.011136	0.034432	0.142016	0.552352	2.189760	
0.008736	0.011168	0.034496	0.141952	0.551008	2.188900	
