32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	
0.030848	0.048320	0.117248	0.450272	1.785760	7.122500	28.458100	
0.019904	0.035584	0.115424	0.448768	1.782400	7.118660	28.467100	
0.017824	0.033376	0.115424	0.448576	1.785150	7.128190	28.452700	
0.017312	0.033728	0.115712	0.448992	1.781570	7.116100	28.451200	
0.017312	0.033536	0.115808	0.448096	1.783100	7.112580	28.462300	
0.017280	0.033632	0.115712	0.448064	1.781090	7.113120	28.446300	
0.018240	0.038368	0.115904	0.452896	1.780900	7.116100	28.455900	
0.017280	0.033504	0.115264	0.449344	1.784380	7.120540	28.461000	
0.017280	0.033504	0.115776	0.448768	1.781250	7.109020	28.481300	
