32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	
0.020608	0.019008	0.017376	0.071616	0.267040	1.048770	
0.007360	0.006336	0.015776	0.069280	0.263968	1.044130	
0.005952	0.006336	0.015744	0.069536	0.264224	1.045540	
0.006048	0.006336	0.015712	0.069504	0.264160	1.044510	
0.005952	0.006336	0.015712	0.069600	0.264544	1.045380	
0.005952	0.006400	0.015680	0.069536	0.264768	1.044830	
0.006016	0.006336	0.015968	0.069696	0.264576	1.044860	
0.005952	0.006336	0.015712	0.069600	0.264416	1.045380	
0.005952	0.006368	0.015712	0.069248	0.264576	1.045890	
