32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	
0.032352	0.060064	0.153088	0.593376	2.317540	9.253220	
0.032928	0.059456	0.148864	0.592320	2.327900	9.254820	
0.034176	0.056608	0.149312	0.592576	2.326560	9.256130	
0.037792	0.057376	0.150304	0.593504	2.323300	9.244770	
0.032704	0.054400	0.156384	0.593792	2.321920	9.254140	
0.030944	0.054560	0.151520	0.591936	2.326180	9.245470	
0.034752	0.052640	0.148864	0.594080	2.326750	9.262720	
0.036096	0.053280	0.148416	0.591200	2.328480	9.248800	
0.036928	0.052416	0.149824	0.592384	2.322400	9.254180	
